Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
SVM,20200625-102431,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-105751,entrenamiento,{Factor C Regularizacion:},0.787,0.73,0.663,0.695,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-105808,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110003,entrenamiento,{Factor C Regularizacion:2},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110036,entrenamiento,{Factor C Regularizacion:3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110115,entrenamiento,{Factor C Regularizacion:0.1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110145,entrenamiento,{Factor C Regularizacion:0.01},0.788,0.942,0.512,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110202,entrenamiento,{Factor C Regularizacion:0.001},0.619,0.833,0.079,0.144,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110235,entrenamiento,{Factor C Regularizacion:5},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110401,entrenamiento,{Factor C Regularizacion:1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110426,entrenamiento,{Factor C Regularizacion:2},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110517,entrenamiento,{Factor C Regularizacion:2},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110523,entrenamiento,{Factor C Regularizacion:2},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110541,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110710,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110825,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-111037,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-111435,entrenamiento,{Factor C Regularizacion:2},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-111447,entrenamiento,{Factor C Regularizacion:},0.79,0.728,0.684,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-111450,entrenamiento,{Factor C Regularizacion:},0.772,0.709,0.667,0.687,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115143,entrenamiento,{Factor C Regularizacion:2},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115155,entrenamiento,{Factor C Regularizacion:},0.787,0.72,0.684,0.702,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115158,entrenamiento,{Factor C Regularizacion:},0.772,0.709,0.667,0.687,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115538,entrenamiento,{Factor C Regularizacion:},0.772,0.709,0.667,0.687,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115735,entrenamiento,{Factor C Regularizacion:},0.772,0.709,0.667,0.687,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115927,entrenamiento,{Factor C Regularizacion:},0.772,0.709,0.667,0.687,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-120047,entrenamiento,{Factor C Regularizacion:},0.772,0.709,0.667,0.687,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-120544,entrenamiento,{Factor C Regularizacion:6},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
