Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
LogisticRegression,20200625-115541,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-115738,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-115930,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-120050,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-120620,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-120640,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121057,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121156,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121313,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.83,0.814,0.756,0.784,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121325,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121513,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.768,0.676,0.704,0.69,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121526,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121627,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121708,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.853,0.852,0.772,0.81,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121711,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.779,0.701,0.694,0.697,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-121714,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-123510,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.853,0.852,0.772,0.81,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-123522,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.853,0.852,0.772,0.81,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-123537,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.853,0.852,0.772,0.81,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-131814,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-132511,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-132831,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-132905,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-132951,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-152343,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-152802,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-153253,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-153411,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-153525,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-153615,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-153646,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-153830,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-154410,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-154617,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-154701,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-161308,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.798,0.755,0.684,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-104353,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.821,0.859,0.669,0.752,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-104356,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.787,0.766,0.602,0.674,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-104359,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.808,0.828,0.615,0.706,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-105707,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.779,0.882,0.528,0.66,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-105710,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.768,0.821,0.469,0.597,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-105713,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.792,0.871,0.521,0.652,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-105915,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.785,0.917,0.52,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-105918,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.768,0.821,0.469,0.597,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200626-105921,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.772,0.838,0.487,0.616,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200629-093922,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.801,0.842,0.63,0.721,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200629-093925,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.775,0.738,0.602,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200629-093928,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.804,0.826,0.607,0.7,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200629-100504,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.775,0.738,0.602,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200629-100532,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0001 L:2.0 Batch Size:32},0.801,0.842,0.63,0.721,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200629-100655,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.804,0.826,0.607,0.7,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
