Nombre,TimeStamp,Tipo_Registro,Accuracy,Precision,Recall,F1_Score,Variables
NaiveBayes,20200625-154617,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-154701,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-161308,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-104336,prediccion,0.737,0.683,0.661,0.672,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-104356,prediccion,0.757,0.677,0.643,0.66,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-104359,prediccion,0.728,0.627,0.675,0.65,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-104620,prediccion,0.737,0.683,0.661,0.672,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-104850,prediccion,0.737,0.683,0.661,0.672,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105441,prediccion,0.737,0.683,0.661,0.672,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105618,prediccion,0.737,0.683,0.661,0.672,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105654,prediccion,0.788,0.733,0.756,0.744,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105710,prediccion,0.779,0.693,0.714,0.704,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105713,prediccion,0.753,0.656,0.718,0.686,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105902,prediccion,0.756,0.714,0.669,0.691,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105918,prediccion,0.76,0.685,0.643,0.663,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200626-105921,prediccion,0.74,0.648,0.675,0.661,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200629-093858,prediccion,0.756,0.707,0.685,0.696,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200629-093925,prediccion,0.745,0.656,0.643,0.649,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200629-093928,prediccion,0.724,0.617,0.701,0.656,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200629-100504,prediccion,0.745,0.656,0.643,0.649,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200629-100655,prediccion,0.724,0.617,0.701,0.656,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
